sales_id,property_id,agent_id,lead_id,sales_date,listed_price,sales_amount
S0202,P037,A003,L0374,2026-03-03,9469129,8824028
S0207,P088,A005,L0378,2026-04-23,1543184,2317319
S0098,P073,A001,L0383,2026-03-07,11707622,5079435
S0173,P022,A005,L0384,2026-02-04,6078541,604680
S0141,P038,A001,L0390,2026-06-07,5995328,7346970
S0061,P079,A004,L0392,2026-04-11,2431621,8754637
S0160,P096,A005,L0395,2026-01-28,10939604,6878351
S0219,P084,A008,L0398,2026-06-28,2092902,7829664
S0211,P019,A008,L0399,2026-04-21,5999946,7454272
S0194,P022,A005,L0400,2026-03-21,6078541,8214311
S0058,P043,A007,L0407,2026-04-17,657747,695813
S0087,P078,A008,L0408,2026-01-12,731528,1930950
S0195,P040,A008,L0414,2026-02-09,10158786,4633167
S0243,P022,A009,L0415,2026-03-07,6078541,2701709
S0027,P086,A008,L0416,2026-05-15,2132085,779301
S0112,P081,A010,L0418,2026-03-12,9370133,5109643
S0084,P079,A009,L0420,2026-06-01,2431621,7019733
S0065,P041,A007,L0421,2026-03-13,10635010,1958781
S0237,P062,A007,L0423,2026-06-05,10551002,8579182
S0044,P098,A010,L0424,2026-02-04,3071231,1896351
S0100,P023,A010,L0426,2026-03-26,3472902,2193432
S0070,P020,A003,L0432,2026-06-20,7002182,1026048
S0134,P049,A009,L0435,2026-03-23,4753518,7894525
S0060,P010,A002,L0437,2026-03-01,11255454,4571154
S0022,P066,A010,L0439,2026-03-03,3648638,8529745
S0095,P027,A008,L0449,2026-02-07,9657102,1325884
S0014,P086,A003,L0450,2026-03-06,2132085,4980826
S0019,P087,A006,L0451,2026-05-26,5364427,5051135
S0090,P066,A005,L0457,2026-05-08,3648638,4284233
S0167,P054,A008,L0462,2026-02-16,9439059,1309056
S0128,P006,A006,L0465,2026-01-15,5576394,7338031
S0227,P026,A009,L0467,2026-05-11,9709886,4955184
S0102,P074,A010,L0471,2026-01-03,7305097,1800227
S0026,P008,A010,L0474,2026-05-20,7933517,3165516
S0250,P004,A010,L0479,2026-02-11,465647,6183750
S0125,P099,A009,L0482,2026-01-15,1401872,5843087
S0158,P086,A009,L0484,2026-04-17,2132085,4354917
S0077,P006,A010,L0485,2026-03-15,5576394,1321366
S0137,P033,A003,L0486,2026-06-22,1712035,2252218
S0108,P094,A001,L0488,2026-05-19,10160172,3287286
S0056,P075,A009,L0489,2026-02-27,2832831,9176293
S0190,P035,A007,L0490,2026-05-02,1543160,1841391
S0051,P030,A007,L0492,2026-04-29,4677763,6019136
S0198,P020,A010,L0495,2026-04-03,7002182,5395159
S0246,P080,A003,L0498,2026-06-11,8769917,8680296
S0229,P024,A008,L0499,2026-04-11,9652836,6375738
